"y","level","latent","x1","x2","D1","D2","D3","V1"
1,3,1,1.14397907039555,0.532596033687989,1,0,1,"C"
1,3,1,0.232806803258225,-0.611337923957018,1,1,0,"C"
1,1,1,1.62698416764044,0.106627486493944,1,1,1,"B"
0,1,1,1.68911236730523,-0.0364421323978923,0,1,0,"B"
0,3,1,2.7065669764563,1.06413355851888,1,0,1,"A"
1,5,1,2.23120420839804,-0.00454133316760286,1,1,0,"C"
0,4,1,0.881968000429371,-0.648817259222845,1,1,1,"B"
1,3,2,2.2664317339317,1.17730328365965,0,1,1,"B"
1,8,1,1.65910611316955,-0.681178335147814,1,0,1,"A"
1,6,1,0.5667427839712,-1.19298959134953,1,0,1,"B"
1,3,1,-0.276720415243092,-1.09179886607108,0,1,0,"A"
0,6,2,2.88983945014404,-1.33365989829955,0,0,0,"C"
0,7,1,2.19967156759373,0.106023600956811,1,1,0,"B"
1,3,2,3.01434417598806,-0.878372845133819,0,1,1,"B"
0,7,1,0.757326225691862,-0.535668515135146,1,1,0,"A"
1,7,2,2.25265132036103,0.0785715228181081,0,1,1,"B"
1,2,1,-0.339707633728699,-0.369334661553104,1,1,0,"C"
1,1,1,-0.208533537771474,-2.57275411561213,1,0,1,"A"
0,1,1,2.31950263508396,0.460125587337548,1,1,1,"B"
1,6,1,1.4202547013746,-0.0305778822490691,1,0,1,"C"
0,1,1,1.34298080834614,-0.11226188770528,1,0,1,"B"
0,6,2,2.86301428406574,-0.132324404308,0,0,1,"B"
0,7,1,2.22710421879616,-1.09698783660341,1,1,1,"B"
0,2,1,2.1686606093971,0.719248441545009,1,0,1,"B"
1,6,2,4.7199077823944,-0.97156574327391,1,1,0,"A"
1,6,2,2.85797768122665,-1.47020218524078,0,0,0,"B"
0,1,1,2.70395137123345,1.45166152473535,1,1,1,"C"
1,2,1,1.37472825108562,-1.20925461647021,1,1,1,"B"
0,6,1,2.02113771011833,0.671821545921576,1,1,1,"B"
1,3,2,2.30147646208063,-0.566645078214091,0,1,1,"A"
0,8,2,3.91613118217701,-1.24564363671464,0,1,1,"B"
0,6,1,2.17006282812152,0.686066677747136,1,0,1,"A"
0,1,2,3.13048952572645,-1.78628522614886,0,1,1,"B"
1,2,1,0.766530680844736,-0.0602289622923227,1,1,0,"B"
1,2,2,3.27476554312417,-1.17763263558148,0,0,1,"B"
1,2,1,1.77267243492337,0.19362635417588,1,0,1,"B"
0,7,2,2.24801955888681,-2.04142820389997,1,1,0,"B"
0,3,1,1.30684272491438,0.183230563522161,1,1,1,"A"
0,7,2,0.817941436313562,-1.77645673365645,1,1,1,"B"
1,2,2,3.10125969302996,-0.345509215077303,0,0,1,"A"
1,8,2,1.95999759906994,-2.14003278250235,0,1,1,"B"
0,1,2,2.13151981042157,-0.374907965860791,0,1,1,"C"
1,2,2,2.23108301806939,0.520928679564866,0,1,1,"B"
0,5,2,1.33477662264023,0.717108356752739,0,1,0,"C"
0,8,1,2.4420221652795,-0.745193084488228,1,1,1,"B"
0,1,2,2.11005536059744,-1.03457616962225,0,1,0,"B"
1,8,2,1.06205321168367,-1.77804077145255,0,1,0,"B"
0,3,2,2.95266871615772,-1.40028250991,0,1,1,"C"
1,3,2,0.137655595708726,-0.333622913394685,0,0,0,"B"
1,8,2,3.58579592865186,-0.808661315559463,1,0,0,"B"
1,8,1,1.57593436321955,-1.26933179620183,1,1,0,"B"
0,1,1,3.23329935499165,0.726073307502743,1,0,1,"B"
0,8,2,1.21962412703173,-1.83570697405487,0,1,1,"A"
0,3,1,2.22048749854534,0.583099754807363,1,0,1,"A"
1,2,1,-0.305528007100366,-2.47922810498651,1,1,1,"A"
1,5,2,3.45979451028696,-0.858448252971918,0,1,1,"B"
1,5,1,1.20888483468082,-1.06944731033816,1,0,1,"A"
1,2,2,1.62167859289562,-0.368607229900917,0,0,0,"C"
1,6,1,2.24704726610748,-1.04076566164663,1,0,1,"A"
0,7,2,2.78533590749917,-0.965834571138193,0,1,1,"C"
1,2,2,2.86110845257325,1.80768077602038,0,1,1,"B"
0,7,2,3.09369218237188,-0.17101657108088,0,1,1,"B"
1,8,2,1.69894303680669,-0.0340193430878722,0,1,1,"B"
0,2,1,0.403875578129657,-1.77466064858272,1,0,1,"B"
0,6,2,3.47496731147575,0.540529858264281,0,1,1,"C"
0,8,1,3.22098847069916,1.1984168076173,1,0,1,"A"
1,7,2,2.75541813019634,-0.295837075442106,0,1,1,"A"
1,5,1,0.858179393260985,-0.651635690342035,1,0,1,"B"
0,8,2,2.49967587768564,-2.31291031844039,0,1,1,"C"
1,1,1,0.991637779986795,-0.415183724036535,1,1,1,"C"
1,2,2,2.64981092546208,0.422025370290497,0,1,1,"B"
0,4,1,0.735405570910887,0.19862581481651,1,0,1,"B"
1,7,2,1.69164171705311,-1.36308235694249,0,1,1,"B"
1,1,2,2.84601707552711,-0.970983041272724,0,1,1,"B"
1,5,2,1.78080621660991,-0.637081111951328,0,1,1,"B"
1,5,1,0.494904348560565,0.0540539261065417,1,1,1,"A"
0,5,2,-0.307039176182066,-1.56775875391868,0,1,1,"A"
1,5,2,2.86945543269593,-0.317103619331512,0,0,0,"B"
1,1,2,3.21414693615563,-0.385298383864392,0,1,1,"B"
0,6,1,0.721780010832714,-0.205086663685548,1,0,1,"B"
0,8,2,1.48759480384361,-2.27369109592068,0,1,1,"B"
0,3,2,1.52124296711059,-0.659150612809689,0,0,1,"A"
1,7,2,-0.532676839681817,-2.8696617188096,0,0,1,"B"
0,5,2,1.96465077309421,-0.8097347128407,0,1,1,"B"
1,5,1,2.0308032786595,-0.293842187505515,1,1,0,"B"
0,1,2,2.29312930686038,-1.18153372297703,1,0,0,"A"
1,2,1,1.16367723410193,-0.142958558243037,1,1,0,"A"
0,7,1,2.57745270923998,-0.71909521771022,0,0,1,"B"
0,4,1,3.93321270181715,2.82354841359603,1,1,0,"B"
1,5,2,2.46376476762873,0.734879481184341,0,1,1,"C"
0,7,1,-0.327823803388246,-0.622617109646117,1,0,1,"C"
0,4,1,0.221559100481896,-1.32359207277306,1,0,1,"B"
0,7,2,4.79101267699811,-0.251006060908685,0,1,1,"B"
1,7,2,2.11602161983166,0.255502669944736,0,0,1,"B"
0,6,1,2.14978242440577,0.431484694605513,1,1,1,"B"
1,1,1,0.229989833798481,0.148804686560915,1,1,0,"B"
0,2,1,2.38843462180558,0.671170741955651,1,1,1,"A"
1,2,2,1.66166559871223,-0.423738658200572,0,1,1,"B"
1,3,1,1.60888712815718,-0.295416689983807,1,1,1,"B"
0,6,1,1.15714963207461,-0.282080594605756,1,1,1,"B"
0,1,1,1.75244826090659,1.6986097656974,1,1,1,"B"
1,2,1,1.7905833737784,-1.3430003592518,1,0,1,"A"
0,2,1,1.42880487209403,-0.0246295636260406,1,1,0,"B"
1,1,2,2.4205097011215,-1.26110282875353,0,1,1,"B"
1,1,2,2.55970948614946,-0.948191968021612,0,0,1,"B"
1,2,2,2.96289492413532,-0.292281167473179,0,1,1,"B"
0,7,1,1.35920730484556,-1.70790898860448,1,1,1,"A"
1,1,2,3.37504395718784,0.769457844016353,0,0,0,"B"
0,8,1,0.697847782068821,-0.590501953396112,1,0,1,"A"
0,3,1,1.04077540567562,0.482504639373788,1,1,1,"B"
0,8,2,3.13876801305483,-1.33535244608836,0,1,1,"B"
0,2,1,2.1248256830627,0.328511442266646,1,0,1,"B"
1,2,2,3.43737970488443,-0.498467443331359,0,1,1,"B"
1,7,2,3.40814817530098,-1.34732291150925,0,1,1,"C"
0,4,2,2.62907884665438,-2.39808857182735,0,1,1,"C"
0,3,1,2.42401913855213,-0.562375951111475,1,0,1,"B"
1,1,1,0.506398794551124,-2.09715334142606,1,1,1,"B"
0,7,1,0.15395850090547,0.00195348712432963,1,1,1,"C"
1,4,2,3.52384274226724,-0.988080236441125,0,1,1,"C"
1,7,2,1.18453011690836,-0.31131715963215,0,0,1,"B"
1,3,2,1.12814891215305,0.713641095929006,0,1,1,"B"
1,3,1,0.421650093601403,-2.52307013912281,1,1,0,"B"
0,1,1,2.40621466336308,1.21781867357344,1,0,1,"A"
0,7,1,1.24444129763395,0.224633494365249,1,1,1,"B"
0,7,1,0.576368364618511,0.19431991849507,1,1,0,"C"
1,2,2,0.651534253438988,-2.58930501831489,0,1,1,"C"
1,3,1,-1.02765610876035,-2.42103525966241,1,1,0,"B"
1,4,2,1.92354874742716,-0.243633367857832,0,1,1,"A"
1,8,1,2.51211282303183,-0.137001777260082,1,1,0,"C"
0,7,1,1.87997474517384,0.0224734392350612,1,0,1,"B"
0,4,1,2.09373755591623,0.356017912911809,1,1,1,"B"
0,4,1,2.0031175005821,-0.230078433601793,1,0,1,"B"
0,7,2,2.62302736319689,0.0100785442821081,0,1,1,"B"
0,1,2,2.77966658851823,-2.01697106603488,1,1,1,"B"
0,4,2,2.54928248360092,-1.83947450476562,0,0,1,"C"
0,4,2,3.12291215382179,-0.752296724231143,0,1,1,"C"
